source,source_listing_id,source_url,scraped_at,publication_date,last_updated_date,active_status,active_evidence,title,description,district,subarea,address,latitude,longitude,coord_source,coord_precision,rent_original,rent_currency,rent_pen,rent_usd,rent_pen_basis,rent_usd_basis,maintenance_fee,maintenance_currency,maintenance_pen,maintenance_usd,maintenance_pen_basis,maintenance_usd_basis,maintenance_included_in_rent,estimated_total_monthly_pen,estimated_total_monthly_usd,fx_rate_usd_pen,property_type,operation,bedrooms,bathrooms,total_area_m2,built_area_m2,floor,total_floors,parking_spaces,parking_included,furnished,semi_furnished,balcony,terrace,laundry,interior_view,exterior_view,acoustic_windows,study,walk_in_closet,avenue_view,quiet_claim,studio_text,short_term_text,shared_room_text,internet_included,elevator,security_24h,gym,pool,coworking,common_areas,pets_allowed,minimum_contract_months,deposit_months,advance_months,utilities_included,agent_name,agency_name,phone,whatsapp,main_image_url,image_count,image_keys,amenities,raw_description,text_signals
urbania,1001,https://example.com/demo/urbania/1001,2026-09-24T17:45:06-05:00,2026-09-23,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Alquiler departamento 1 dormitorio Miraflores (DEMO 1001),"Flat amoblado en piso 9, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 420 soles.",Miraflores,,Calle Ejemplo 100 (DEMO),-12.110958,-77.046751,LISTING,EXACT,870.0,USD,2944.95,870.0,CALCULATED,PUBLISHED,420.0,PEN,420.0,124.08,PUBLISHED,CALCULATED,,3364.95,994.08,3.385,,,1,2.0,63.0,58.0,9.0,,,,True,,,True,,,,,True,,,,,,,,True,True,True,True,,,,,,,,,DEMO Inmobiliaria A,+5110001000,,https://example.com/img/001001abcdef1234-1001.jpg,4,"['001001abcdef1234', '001001abcdef1234', '001001abcdef1234', '001001abcdef1234']","['Ascensor', 'Vigilancia 24 horas']","Flat amoblado en piso 9, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 420 soles.","['furnished: …lores (demo 1001) \n flat amoblado en piso 9, iluminado, ce…', 'terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'elevator: …ento aprox. 420 soles. \n ascensor ; vigilancia 24 horas…', 'security_24h: …420 soles. \n ascensor ; vigilancia 24 horas…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 42…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 420 soles. \n ascensor ; vigilancia…']"
adondevivir,1002,https://example.com/demo/adondevivir/1002.html,2026-09-24T17:45:06-05:00,2026-08-10,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1002),"Flat sin amoblar en piso 3, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 420 soles.",Miraflores,Lima,Av. Ejemplo 201 (DEMO),-12.117181,-77.042835,LISTING,EXACT,2650.0,PEN,2650.0,782.87,PUBLISHED,CALCULATED,420.0,PEN,420.0,124.08,PUBLISHED,CALCULATED,,3070.0,906.95,3.385,,Alquiler,1,2.0,67.0,62.0,3.0,,0.0,False,False,,,True,,,,,True,,,,,,,,,,True,True,,,,,,,,,DEMO Agente G,,,https://example.com/img/001002abcdef1234-1002.jpg,5,"['001002abcdef1234', '001002abcdef1234', '001002abcdef1234', '001002abcdef1234', '001002abcdef1234']",[],"Flat sin amoblar en piso 3, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 420 soles.","['furnished=False: …dorm. (demo 1002) \n flat sin amoblar en piso 3, iluminado, ce…', 'terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 42…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 420 soles.…']"
urbania,1003,https://example.com/demo/urbania/1003.html,2026-09-24T17:45:06-05:00,2026-08-03,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1003),"Flat en piso 4, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 300 soles.",Miraflores,Lima,Av. Ejemplo 202 (DEMO),-12.127673,-77.046789,LISTING,EXACT,2650.0,PEN,2650.0,782.87,PUBLISHED,CALCULATED,300.0,PEN,300.0,88.63,PUBLISHED,CALCULATED,,2950.0,871.5,3.385,,Alquiler,1,1.0,46.0,41.0,4.0,,0.0,False,,,,True,,,,,True,,,,,,,,,,True,True,,,,,,,,,DEMO Agente H,,,https://example.com/img/001003abcdef1234-1003.jpg,9,"['001003abcdef1234', '001003abcdef1234', '001003abcdef1234', '001003abcdef1234', '001003abcdef1234', '001003abcdef1234', '001003abcdef1234', '001003abcdef1234', '001003abcdef1234']",[],"Flat en piso 4, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 300 soles.","['terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 30…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 300 soles.…', 'maintenance amount read from description']"
adondevivir,1004,https://example.com/demo/adondevivir/1004,2026-09-24T17:45:06-05:00,2026-09-18,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Alquiler departamento 2 dormitorios Miraflores (DEMO 1004),"Departamento totalmente amoblado, calle tranquila y residencial, contrafrente. Dos baños completos, walk-in closet. Incluye estacionamiento. Contrato mínimo 6 meses.",Miraflores,,Calle Ejemplo 103 (DEMO),-12.121697,-77.032041,LISTING,APPROXIMATE,760.0,USD,2572.6,760.0,CALCULATED,PUBLISHED,,,,,,,,,,3.385,,,2,1.0,96.0,92.0,,,,True,True,,True,,True,True,,,,True,,True,,,,,,,,,,,,6.0,,,,,DEMO Inmobiliaria D,+5110001003,,https://example.com/img/001004abcdef1234-1004.jpg,11,"['001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234', '001004abcdef1234']","['Lavandería', 'Balcón']","Departamento totalmente amoblado, calle tranquila y residencial, contrafrente. Dos baños completos, walk-in closet. Incluye estacionamiento. Contrato mínimo 6 meses.","['furnished: …departamento totalmente amoblado, calle tranquila y resid…', 'balcony: …6 meses. \n lavanderia ; balcon…', 'laundry: …ntrato minimo 6 meses. \n lavanderia ; balcon…', 'interior_view: …tranquila y residencial, contrafrente. dos banos completos, wa…', 'quiet_claim: …nto totalmente amoblado, calle tranquila y residencial, contrafre…', 'parking_included: …mpletos, walk-in closet. incluye estacionamiento. contrato minimo 6 meses…', 'walk_in_closet: …te. dos banos completos, walk-in closet. incluye estacion…', 'contract: …incluye estacionamiento. contrato minimo 6 meses. \n lavanderia ; balcon…']"
urbania,1005,https://example.com/demo/urbania/1005.html,2026-09-24T17:45:06-05:00,2026-08-04,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1005),"Departamento amoblado con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 420.",Miraflores,Lima,Av. Ejemplo 204 (DEMO),-12.120507,-77.030441,LISTING,EXACT,2300.0,PEN,2300.0,679.47,PUBLISHED,CALCULATED,420.0,PEN,420.0,124.08,PUBLISHED,CALCULATED,,2720.0,803.55,3.385,,Alquiler,1,1.0,71.0,66.0,,,0.0,False,True,,,,True,True,,True,,True,,True,,,,,True,True,,,,,,12.0,2.0,1.0,,,DEMO Agente F,,,https://example.com/img/001005abcdef1234-1005.jpg,10,"['001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234', '001005abcdef1234']",[],"Departamento amoblado con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 420.","['furnished: …emo 1005) \n departamento amoblado con vista interior, muy…', 'laundry: …vidrio. cocina equipada, lavanderia independiente, closets a…', 'interior_view: …epartamento amoblado con vista interior, muy tranquilo, ventanas…', 'acoustic_windows: …tranquilo, ventanas con doble vidrio. cocina equipada, lavand…', 'quiet_claim: …lado con vista interior, muy tranquilo, ventanas con doble vid…', 'elevator: …ts amplios. edificio con ascensor y vigilancia 24 horas. c…', 'security_24h: …edificio con ascensor y vigilancia 24 horas. contrato minimo 1…', 'walk_in_closet: …avanderia independiente, closets amplios. edificio con ascensor…', 'contract: …r y vigilancia 24 horas. contrato minimo 1 ano, 2 meses de garantia y 1…', 'deposit: …. contrato minimo 1 ano, 2 meses de garantia y 1 mes de adelanto. man…', 'advance: …o, 2 meses de garantia y 1 mes de adelanto. mantenimiento s/ 420.…', 'maintenance: …tia y 1 mes de adelanto. mantenimiento s/ 420.…']"
adondevivir,1006,https://example.com/demo/adondevivir/1006.html,2026-09-24T17:45:06-05:00,2026-08-27,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1006),"Departamento amoblado con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 500.",Miraflores,Lima,Av. Ejemplo 205 (DEMO),-12.119711,-77.030377,LISTING,APPROXIMATE,2900.0,PEN,2900.0,856.72,PUBLISHED,CALCULATED,500.0,PEN,500.0,147.71,PUBLISHED,CALCULATED,,3400.0,1004.43,3.385,,Alquiler,2,2.0,103.0,98.0,,,1.0,True,True,,,,True,True,,True,,True,,True,,,,,True,True,,,,,,12.0,2.0,1.0,,,DEMO Agente G,,,https://example.com/img/001006abcdef1234-1006.jpg,6,"['001006abcdef1234', '001006abcdef1234', '001006abcdef1234', '001006abcdef1234', '001006abcdef1234', '001006abcdef1234']",[],"Departamento amoblado con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 500.","['furnished: …emo 1006) \n departamento amoblado con vista interior, muy…', 'laundry: …vidrio. cocina equipada, lavanderia independiente, closets a…', 'interior_view: …epartamento amoblado con vista interior, muy tranquilo, ventanas…', 'acoustic_windows: …tranquilo, ventanas con doble vidrio. cocina equipada, lavand…', 'quiet_claim: …lado con vista interior, muy tranquilo, ventanas con doble vid…', 'elevator: …ts amplios. edificio con ascensor y vigilancia 24 horas. c…', 'security_24h: …edificio con ascensor y vigilancia 24 horas. contrato minimo 1…', 'walk_in_closet: …avanderia independiente, closets amplios. edificio con ascensor…', 'contract: …r y vigilancia 24 horas. contrato minimo 1 ano, 2 meses de garantia y 1…', 'deposit: …. contrato minimo 1 ano, 2 meses de garantia y 1 mes de adelanto. man…', 'advance: …o, 2 meses de garantia y 1 mes de adelanto. mantenimiento s/ 500.…', 'maintenance: …tia y 1 mes de adelanto. mantenimiento s/ 500.…']"
urbania,1007,https://example.com/demo/urbania/1007,2026-09-24T17:45:06-05:00,2026-09-05,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Alquiler departamento 2 dormitorios Miraflores (DEMO 1007),"Flat amoblado en piso 14, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 500 soles.",Miraflores,,Calle Ejemplo 106 (DEMO),-12.110139,-77.018611,LISTING,EXACT,970.0,USD,3283.45,970.0,CALCULATED,PUBLISHED,500.0,PEN,500.0,147.71,PUBLISHED,CALCULATED,,3783.45,1117.71,3.385,,,2,2.0,105.0,97.0,14.0,,,,True,,,True,,,,,True,,,,,,,,True,True,True,True,,,,,,,,,DEMO Inmobiliaria B,+5110001006,,https://example.com/img/001007abcdef1234-1007.jpg,8,"['001007abcdef1234', '001007abcdef1234', '001007abcdef1234', '001007abcdef1234', '001007abcdef1234', '001007abcdef1234', '001007abcdef1234', '001007abcdef1234']","['Vigilancia 24 horas', 'Ascensor']","Flat amoblado en piso 14, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 500 soles.","['furnished: …lores (demo 1007) \n flat amoblado en piso 14, iluminado, c…', 'terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'elevator: …vigilancia 24 horas ; ascensor…', 'security_24h: …ento aprox. 500 soles. \n vigilancia 24 horas ; ascensor…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 50…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 500 soles. \n vigilancia 24 horas ;…']"
adondevivir,1008,https://example.com/demo/adondevivir/1008.html,2026-09-24T17:45:06-05:00,2026-08-02,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1008),"Lindo depa semi-amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.",Miraflores,Lima,Av. Ejemplo 207 (DEMO),-12.125703,-77.019827,LISTING,EXACT,3450.0,PEN,3450.0,1019.2,PUBLISHED,CALCULATED,350.0,PEN,350.0,103.4,PUBLISHED,CALCULATED,,3800.0,1122.6,3.385,,Alquiler,1,1.0,69.0,64.0,,,0.0,False,False,True,True,,,,True,,,,,,,,,,,True,,,,True,True,12.0,2.0,,,,DEMO Agente I,,,https://example.com/img/001008abcdef1234-1008.jpg,5,"['001008abcdef1234', '001008abcdef1234', '001008abcdef1234', '001008abcdef1234', '001008abcdef1234']",[],"Lindo depa semi-amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.","['semi_furnished: …(demo 1008) \n lindo depa semiamoblado con balcon y vista a la…', 'balcony: …do depa semiamoblado con balcon y vista a la avenida, a…', 'exterior_view: …emiamoblado con balcon y vista a la avenida, a pocos pasos del parqu…', 'security_24h: …pocos pasos del parque. porteria 24h, zona de parrilla. s…', 'common_areas: …el parque. porteria 24h, zona de parrilla. se aceptan mascotas peq…', 'pets_allowed: …4h, zona de parrilla. se aceptan mascotas pequenas. garantia: dos…', 'contract: …as. garantia: dos meses. contrato de 12 meses.…', 'deposit: …eptan mascotas pequenas. garantia: dos meses. contrato de 12 meses.…']"
urbania,1009,https://example.com/demo/urbania/1009.html,2026-09-24T17:45:06-05:00,2026-08-06,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1009),"Departamento semi-amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.",Miraflores,Lima,Av. Ejemplo 208 (DEMO),-12.130566,-77.035922,LISTING,EXACT,2850.0,PEN,2850.0,841.95,PUBLISHED,CALCULATED,500.0,PEN,500.0,147.71,PUBLISHED,CALCULATED,,3350.0,989.66,3.385,,Alquiler,1,2.0,45.0,40.0,,,0.0,False,False,True,,,,,,,,,True,,,,,,,True,,,True,,,,,,,,DEMO Agente F,,,https://example.com/img/001009abcdef1234-1009.jpg,7,"['001009abcdef1234', '001009abcdef1234', '001009abcdef1234', '001009abcdef1234', '001009abcdef1234', '001009abcdef1234', '001009abcdef1234']",[],"Departamento semi-amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.","['semi_furnished: …emo 1009) \n departamento semiamoblado frente a la avenida pri…', 'avenue_view: …epartamento semiamoblado frente a la avenida principal, ideal para ej…', 'security_24h: …, ideal para ejecutivos. recepcion 24 horas, coworking.…', 'coworking: …vos. recepcion 24 horas, coworking.…']"
adondevivir,1010,https://example.com/demo/adondevivir/1010,2026-09-24T17:45:06-05:00,2026-09-08,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Alquiler departamento 2 dormitorios Miraflores (DEMO 1010),"Departamento semi-amoblado con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 250.",Miraflores,,Calle Ejemplo 109 (DEMO),-12.107361,-77.038242,LISTING,EXACT,860.0,USD,2911.1,860.0,CALCULATED,PUBLISHED,250.0,PEN,250.0,73.86,PUBLISHED,CALCULATED,,3161.1,933.86,3.385,,,2,1.5,72.0,72.0,,,,,False,True,,,True,True,,True,,True,,True,,,,,True,True,,,,,,12.0,2.0,1.0,,,DEMO Inmobiliaria E,+5110001009,,https://example.com/img/001010abcdef1234-1010.jpg,12,"['001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234', '001010abcdef1234']","['Vigilancia 24 horas', 'Ascensor']","Departamento semi-amoblado con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 250.","['semi_furnished: …emo 1010) \n departamento semiamoblado con vista interior, muy…', 'laundry: …vidrio. cocina equipada, lavanderia independiente, closets a…', 'interior_view: …tamento semiamoblado con vista interior, muy tranquilo, ventanas…', 'acoustic_windows: …tranquilo, ventanas con doble vidrio. cocina equipada, lavand…', 'quiet_claim: …lado con vista interior, muy tranquilo, ventanas con doble vid…', 'elevator: …ts amplios. edificio con ascensor y vigilancia 24 horas. c…', 'security_24h: …edificio con ascensor y vigilancia 24 horas. contrato minimo 1…', 'walk_in_closet: …avanderia independiente, closets amplios. edificio con ascensor…', 'contract: …r y vigilancia 24 horas. contrato minimo 1 ano, 2 meses de garantia y 1…', 'deposit: …. contrato minimo 1 ano, 2 meses de garantia y 1 mes de adelanto. man…', 'advance: …o, 2 meses de garantia y 1 mes de adelanto. mantenimiento s/ 250.…', 'maintenance: …tia y 1 mes de adelanto. mantenimiento s/ 250. \n vigilancia 24 horas ; asc…']"
